date,site_id,status,reason,impact
2026-09-07,MSE,closed,Labor Day,no circ
2026-09-18,MSE,early_close_12:00,Staff development,Tom shift only; Elena at PD
2026-10-12,MSE,closed,District in-service,no circ; good day for partner working session
2026-11-11,MSE,closed,Veterans Day,no circ
2026-11-23,MSE,closed,Fall break,Thanksgiving week
2026-11-24,MSE,closed,Fall break,Thanksgiving week
2026-11-25,MSE,closed,Fall break,Thanksgiving week
2026-11-26,MSE,closed,Fall break,Thanksgiving week
2026-11-27,MSE,closed,Fall break,Thanksgiving week
2026-12-21,MSE,early_close_12:00,Winter break begins,last checkout day of lighthouse if we start Oct 5
