event_id,student_id,book_id,checkout_date,due_date,return_date,staff_id,channel
C-0001,S-306,B-015,2026-01-13,2026-01-27,2026-01-20,L-001,desk
C-0002,S-308,B-007,2026-01-14,2026-01-28,2026-01-21,L-001,desk
C-0003,S-407,B-020,2026-01-14,2026-01-28,2026-01-28,L-001,desk
C-0004,S-505,B-044,2026-01-15,2026-01-29,2026-01-22,L-001,desk
C-0005,S-508,B-007,2026-01-16,2026-01-30,2026-01-30,L-002,desk
C-0006,S-407,B-045,2026-01-19,2026-02-02,2026-01-26,L-002,desk
C-0007,S-408,B-053,2026-01-21,2026-02-04,2026-02-04,L-002,desk
C-0008,S-409,B-063,2026-01-22,2026-02-05,2026-02-05,L-001,desk
C-0009,S-502,B-016,2026-01-22,2026-02-05,2026-01-29,L-002,desk
C-0010,S-305,B-015,2026-01-23,2026-02-06,2026-01-30,L-002,desk
C-0011,S-305,B-015,2026-01-27,2026-02-10,2026-02-10,L-002,desk
C-0012,S-505,B-063,2026-01-28,2026-02-11,2026-02-04,L-001,desk
C-0013,S-408,B-021,2026-01-29,2026-02-12,2026-02-05,L-001,desk
C-0014,S-410,B-034,2026-02-02,2026-02-16,2026-02-16,L-001,desk
C-0015,S-510,B-052,2026-02-02,2026-02-16,2026-02-09,L-001,desk
C-0016,S-307,B-043,2026-02-03,2026-02-17,2026-02-10,L-001,desk
C-0017,S-303,B-040,2026-02-05,2026-02-19,2026-02-26,L-001,desk
C-0018,S-407,B-044,2026-02-05,2026-02-19,2026-02-26,L-001,desk
C-0019,S-508,B-004,2026-02-05,2026-02-19,2026-02-12,L-002,desk
C-0020,S-406,B-003,2026-02-09,2026-02-23,2026-03-02,L-001,desk
C-0021,S-306,B-062,2026-02-10,2026-02-24,2026-02-17,L-001,desk
C-0022,S-408,B-054,2026-02-10,2026-02-24,2026-03-03,L-001,desk
C-0023,S-409,B-014,2026-02-10,2026-02-24,2026-02-17,L-002,desk
C-0024,S-402,B-010,2026-02-11,2026-02-25,2026-02-25,L-001,desk
C-0025,S-406,B-001,2026-02-11,2026-02-25,2026-02-18,L-001,desk
